hora,dato
16:00:00,2.5
17:00:00,12.40131
18:00:00,103.3065
19:00:00,141.537
20:00:00,0
21:00:00,6.83396
22:00:00,21.84476
23:00:00,51.904
0:00:00,0
1:00:00,0
2:00:00,0.88605
3:00:00,5.486733
4:00:00,5
5:00:00,15.9898
6:00:00,3.959
7:00:00,0
8:00:00,7.304942
9:00:00,6.784
10:00:00,50.616
11:00:00,1.5345
12:00:00,0.078876
13:00:00,0
14:00:00,2.20428
15:00:00,0
16:00:00,8.10943
17:00:00,0
18:00:00,0
19:00:00,0.0554
20:00:00,0
21:00:00,90.771
22:00:00,3.967
23:00:00,0.24325
0:00:00,2.98571
1:00:00,0.9
2:00:00,0
3:00:00,0
4:00:00,10.4954
5:00:00,29.60519
6:00:00,0.73815
7:00:00,15.23215
8:00:00,14.33262
9:00:00,23.52225
10:00:00,0
11:00:00,1.62855
12:00:00,0.40543
13:00:00,3.05474
14:00:00,13.79953
15:00:00,0
16:00:00,8.71835
17:00:00,3.245
18:00:00,0.77
19:00:00,42.317
20:00:00,108.027
21:00:00,6.912
22:00:00,59.4
23:00:00,1.53198
0:00:00,0
1:00:00,0.0792
2:00:00,1.5621
3:00:00,0
4:00:00,0.63264
5:00:00,0
6:00:00,9.7123
7:00:00,0
8:00:00,1.8304
9:00:00,0
10:00:00,4.735
11:00:00,0.7
12:00:00,0
13:00:00,0
14:00:00,4.11576
15:00:00,0.9
16:00:00,0
17:00:00,0
18:00:00,8.3921
19:00:00,29.63769
20:00:00,2.07895
21:00:00,10.23622
22:00:00,2.23042
23:00:00,2.39331
0:00:00,59.376
1:00:00,1.53612
2:00:00,0
3:00:00,0
4:00:00,2.22804
5:00:00,5.25565
6:00:00,0
7:00:00,1.971
8:00:00,0.0556
9:00:00,0
10:00:00,10.5175
11:00:00,0
12:00:00,0
13:00:00,1.629075
14:00:00,3.08302
15:00:00,0
16:00:00,23.06359
17:00:00,0
18:00:00,30.46858
19:00:00,2.947504
20:00:00,3.2404
21:00:00,0.5579
22:00:00,32.7655
23:00:00,0
0:00:00,80.7125
1:00:00,0
2:00:00,0
3:00:00,-1.046184
4:00:00,0
5:00:00,55.94526
6:00:00,5.2041
7:00:00,12.39445
8:00:00,0.0145
9:00:00,0.679983
10:00:00,7.9493
11:00:00,0
12:00:00,4.7315
13:00:00,0
14:00:00,5.10047
15:00:00,8.8485
16:00:00,0
17:00:00,15.30107
18:00:00,0
19:00:00,101.323
20:00:00,6.848
21:00:00,66.548
22:00:00,0
23:00:00,0.079416
0:00:00,138.26025
1:00:00,2.7916
2:00:00,0
3:00:00,0
4:00:00,0
5:00:00,9.7813
6:00:00,0
7:00:00,51.86662
8:00:00,10.413
9:00:00,0
10:00:00,1.066788
11:00:00,2.5
12:00:00,67.11025
13:00:00,1.0061
14:00:00,0.54688
15:00:00,3.76634
16:00:00,26.506447
17:00:00,0
18:00:00,52.032
19:00:00,1.62855
20:00:00,0
21:00:00,0.41097
22:00:00,0
23:00:00,3.0568
0:00:00,0
1:00:00,15.62612
2:00:00,3.9905
3:00:00,0
4:00:00,34.9545
5:00:00,0
6:00:00,7.0255
7:00:00,4.154
8:00:00,8.451761
9:00:00,10.6652
10:00:00,1.523
11:00:00,0
12:00:00,4.617835
13:00:00,10.812095
14:00:00,0
15:00:00,24.65
16:00:00,8.2832
17:00:00,6.481257
18:00:00,0
19:00:00,86.5485
20:00:00,6.912
21:00:00,0
22:00:00,0.831681
23:00:00,0
0:00:00,0.079164
1:00:00,131.92587
2:00:00,5.4478
3:00:00,0
4:00:00,6.79456
5:00:00,0
6:00:00,0.201971
7:00:00,9.6895
8:00:00,23.148
9:00:00,28.36875
