hora,dato
0:00:00,82.73612
0:00:00,2.21292
0:00:00,0
0:00:00,2.91132
0:00:00,0
0:00:00,0
0:00:00,5.2167
0:00:00,0
0:00:00,3.4546
0:00:00,30.3845
1:00:00,33.403
1:00:00,14.0485
1:00:00,1.99394
1:00:00,8.452669
1:00:00,12.5457
1:00:00,21.94925
1:00:00,4.646811
1:00:00,21.645199
1:00:00,32.280218
1:00:00,20.2792
1:00:00,8.2886
1:00:00,12.998621
2:00:00,0
2:00:00,0
2:00:00,0
2:00:00,-77.209473
2:00:00,0
2:00:00,8
2:00:00,25.0486
2:00:00,112.871
2:00:00,0
2:00:00,8.041554
2:00:00,0.000442
2:00:00,0
3:00:00,0
3:00:00,0
3:00:00,0
3:00:00,6.411335
3:00:00,0
3:00:00,35.029659
3:00:00,0.022899
3:00:00,13.003602
3:00:00,0
4:00:00,4.416
4:00:00,114.33569
4:00:00,2.2122
4:00:00,0
4:00:00,0
4:00:00,2.90988
4:00:00,0
4:00:00,0.060179
4:00:00,0
4:00:00,6.077
4:00:00,0
4:00:00,5.4533
4:00:00,0
5:00:00,42.4155
5:00:00,32.448
5:00:00,14.04
5:00:00,8.451132
5:00:00,2.151341
5:00:00,0
5:00:00,23.95812
5:00:00,4.922341
5:00:00,0
5:00:00,28.007542
5:00:00,0
5:00:00,19.5463
6:00:00,51.456
6:00:00,2.18505
6:00:00,0
6:00:00,0.000576
6:00:00,11.303568
6:00:00,8
6:00:00,0
6:00:00,5.6494
6:00:00,3.068077
6:00:00,9.78743
6:00:00,47.27825
7:00:00,0
0:00:00,0
0:00:00,27.12388
0:00:00,0
0:00:00,-58.690569
0:00:00,0
0:00:00,0
0:00:00,74.666
0:00:00,0
0:00:00,0
0:00:00,0
0:00:00,0
0:00:00,1.203002
0:00:00,6.9848
1:00:00,50.7845
1:00:00,35.36332
1:00:00,0
1:00:00,1.153786
1:00:00,3
1:00:00,0.009745
1:00:00,0
1:00:00,0
1:00:00,0
1:00:00,0
1:00:00,27.992726
1:00:00,0
2:00:00,51.392
2:00:00,0
2:00:00,2.2785
2:00:00,0
2:00:00,0
2:00:00,3.722641
2:00:00,0
2:00:00,0
2:00:00,2.9898
2:00:00,0.7716
2:00:00,14.91425
3:00:00,50.57275
3:00:00,39.316
3:00:00,14.0405
3:00:00,2.6545
3:00:00,8.461442
3:00:00,9.1371
3:00:00,0
3:00:00,21.75475
3:00:00,4.653065
3:00:00,21.648019
3:00:00,28.014669
3:00:00,0
3:00:00,23.9567
3:00:00,8.2887
4:00:00,0
4:00:00,77.69003
4:00:00,0
4:00:00,0
4:00:00,-81.26574
4:00:00,0
4:00:00,8
4:00:00,25.0533
4:00:00,102.917
4:00:00,0
4:00:00,0.708213
4:00:00,0
4:00:00,0.000532
5:00:00,23.361
5:00:00,25.03975
5:00:00,0
5:00:00,0
5:00:00,0
5:00:00,3
5:00:00,0.077528
5:00:00,0
5:00:00,0
5:00:00,5.214
5:00:00,109.8825
5:00:00,0
6:00:00,92.0505
6:00:00,38.689
6:00:00,39.06775
6:00:00,0
6:00:00,3.528638
0:00:00,39.281
0:00:00,56.82063
0:00:00,0
0:00:00,2.41815
0:00:00,0
0:00:00,3.723228
0:00:00,0
0:00:00,0.782293
0:00:00,0
0:00:00,0
0:00:00,2.497598
0:00:00,4.7593
0:00:00,0.7596
0:00:00,8.26375
1:00:00,0
1:00:00,35.1225
1:00:00,0
1:00:00,90.58613
1:00:00,2.21292
1:00:00,0
1:00:00,0
1:00:00,110.38725
1:00:00,0
1:00:00,0
1:00:00,0.608455
1:00:00,6.9739
1:00:00,0
2:00:00,0
2:00:00,4.751
2:00:00,0
2:00:00,0
2:00:00,6.410897
2:00:00,0.000402
2:00:00,0
2:00:00,0.9554
2:00:00,0
2:00:00,1.92
2:00:00,15.5726
2:00:00,0
2:00:00,0
2:00:00,0.001432
3:00:00,103.74669
3:00:00,2.21238
3:00:00,0
3:00:00,0
3:00:00,2.91024
3:00:00,0
3:00:00,0
3:00:00,0
3:00:00,0.8761
3:00:00,0
4:00:00,103.9755
4:00:00,47.543
4:00:00,27.6125
4:00:00,0
4:00:00,1.18335
4:00:00,0
4:00:00,3.543342
4:00:00,0
4:00:00,0
4:00:00,2.804871
4:00:00,4.6455
4:00:00,0.7676
5:00:00,0
5:00:00,118.68713
5:00:00,0
5:00:00,0
5:00:00,-55.139757
5:00:00,0
5:00:00,8
5:00:00,25.0548
5:00:00,132.87375
5:00:00,0
5:00:00,9.786473
5:00:00,0.467089
5:00:00,0.0428
5:00:00,0
6:00:00,4.16563
6:00:00,0
6:00:00,0.880912
6:00:00,5.090497
0:00:00,50.8635
0:00:00,28.89
0:00:00,14.037
0:00:00,1.79512
0:00:00,8.448259
0:00:00,13.4222
0:00:00,0
0:00:00,40.47313
0:00:00,4.681217
0:00:00,22.617084
0:00:00,27.992454
0:00:00,0
0:00:00,18.5932
0:00:00,8.2892
1:00:00,87.15825
1:00:00,43.846
1:00:00,5.549
1:00:00,15.5641
1:00:00,29.8595
1:00:00,1.38915
1:00:00,0
1:00:00,0
1:00:00,0.073637
1:00:00,2.49885
1:00:00,4.6566
2:00:00,23.342
2:00:00,0
2:00:00,0
2:00:00,2.91096
2:00:00,0.00882
2:00:00,0
2:00:00,5.2169
2:00:00,62.634
2:00:00,1.25275
3:00:00,48.521
3:00:00,27.82562
3:00:00,0
3:00:00,2.27115
3:00:00,3.72194
3:00:00,0
3:00:00,1.107391
3:00:00,0
3:00:00,2.517557
3:00:00,4.6386
3:00:00,0.7678
3:00:00,15.20275
4:00:00,50.81
4:00:00,37.097
4:00:00,14.044
4:00:00,8.459337
4:00:00,0.139339
4:00:00,0
4:00:00,21.51738
4:00:00,4.903124
4:00:00,0
4:00:00,28.023727
4:00:00,0
4:00:00,23.9091
5:00:00,0
5:00:00,4.747
5:00:00,0
5:00:00,3.082
5:00:00,0.229936
5:00:00,0.000385
5:00:00,0.9567
5:00:00,0
5:00:00,1.92
5:00:00,7.0597
5:00:00,29.878
5:00:00,0.396268
5:00:00,0.150536
5:00:00,0.055095
5:00:00,0
6:00:00,5.376
6:00:00,137.40725
6:00:00,2.21922
6:00:00,0.071928
6:00:00,0
6:00:00,3.2598
0:00:00,0
0:00:00,4.7485
0:00:00,0
0:00:00,0
0:00:00,6.873051
0:00:00,0
0:00:00,28.341009
0:00:00,0
0:00:00,0.005824
0:00:00,13.02506
0:00:00,0
1:00:00,27.936
1:00:00,0
1:00:00,2.36985
1:00:00,0
1:00:00,3.719968
1:00:00,0.069585
1:00:00,0
1:00:00,0
1:00:00,2.9918
1:00:00,0.6911
1:00:00,11.468
2:00:00,50.47675
2:00:00,37.419
2:00:00,35.34193
2:00:00,0
2:00:00,-0.466372
2:00:00,3
2:00:00,0
2:00:00,0
2:00:00,21.81012
2:00:00,0
2:00:00,0
2:00:00,27.97617
2:00:00,0
3:00:00,51.456
3:00:00,0
3:00:00,0
3:00:00,0.000006
3:00:00,0
3:00:00,8
3:00:00,25.051
3:00:00,1.847793
3:00:00,2.9846
3:00:00,0
3:00:00,10.431745
4:00:00,4.17206
4:00:00,0
4:00:00,9.0783
4:00:00,0
4:00:00,0
4:00:00,0
4:00:00,24.201323
4:00:00,43.332701
4:00:00,0.74873
4:00:00,8.2895
4:00:00,13.048545
4:00:00,0
5:00:00,62.35925
5:00:00,43.053
5:00:00,31.5655
5:00:00,0
5:00:00,1.18335
5:00:00,0
5:00:00,0.947187
5:00:00,0
5:00:00,0
5:00:00,2.805213
5:00:00,4.6415
5:00:00,0.8094
6:00:00,23.396
6:00:00,24.23965
6:00:00,0
6:00:00,0
6:00:00,3
6:00:00,0.008583
6:00:00,0
6:00:00,5.2133
6:00:00,101.64837
6:00:00,47.567126
6:00:00,0
0:00:00,51.392
